2026/09/16 06:24:02.721, 22292, 1833, 0, 22.58
2026/09/16 06:24:02.988, 22518, 1607, 0, 22.58
2026/09/16 06:24:03.238, 22518, 1607, 0, 22.58
2026/09/16 06:24:03.488, 22518, 1607, 96, 85.01
2026/09/16 06:24:03.739, 22518, 1607, 96, 85.01
2026/09/16 06:24:03.989, 22518, 1607, 96, 142.42
2026/09/16 06:24:04.239, 22518, 1607, 96, 142.42
2026/09/16 06:24:04.490, 22518, 1607, 99, 279.10
2026/09/16 06:24:04.740, 22566, 1559, 99, 279.10
2026/09/16 06:24:04.991, 22566, 1559, 99, 271.73
2026/09/16 06:24:05.241, 22566, 1559, 99, 271.73
2026/09/16 06:24:05.491, 22566, 1559, 99, 261.82
2026/09/16 06:24:05.742, 22566, 1559, 99, 261.82
2026/09/16 06:24:05.992, 22566, 1559, 99, 261.72
2026/09/16 06:24:06.243, 22566, 1559, 99, 261.72
2026/09/16 06:24:06.493, 22566, 1559, 99, 278.57
2026/09/16 06:24:06.744, 22518, 1607, 99, 278.57
2026/09/16 06:24:06.994, 22518, 1607, 99, 259.91
2026/09/16 06:24:07.244, 22518, 1607, 99, 259.91
2026/09/16 06:24:07.495, 22518, 1607, 99, 264.56
2026/09/16 06:24:07.746, 22518, 1607, 99, 264.56
2026/09/16 06:24:07.996, 22518, 1607, 99, 277.23
2026/09/16 06:24:08.246, 22518, 1607, 99, 277.23
2026/09/16 06:24:08.497, 22566, 1559, 98, 278.09
2026/09/16 06:24:08.747, 22566, 1559, 98, 278.09
2026/09/16 06:24:08.997, 22566, 1559, 98, 261.77
2026/09/16 06:24:09.248, 22566, 1559, 98, 261.77
2026/09/16 06:24:09.498, 22566, 1559, 99, 264.11
2026/09/16 06:24:09.748, 22566, 1559, 99, 264.11
2026/09/16 06:24:09.999, 22566, 1559, 99, 279.32
2026/09/16 06:24:10.249, 22614, 1511, 99, 279.32
2026/09/16 06:24:10.499, 22614, 1511, 55, 270.36
2026/09/16 06:24:10.750, 22614, 1511, 55, 270.36
2026/09/16 06:24:11.000, 22614, 1511, 55, 265.57
2026/09/16 06:24:11.251, 22614, 1511, 55, 265.57
2026/09/16 06:24:11.501, 22614, 1511, 99, 263.24
2026/09/16 06:24:11.752, 22614, 1511, 99, 263.24
2026/09/16 06:24:12.002, 22614, 1511, 99, 279.13
2026/09/16 06:24:12.253, 22614, 1511, 99, 279.13
2026/09/16 06:24:12.503, 22614, 1511, 85, 261.47
2026/09/16 06:24:12.754, 22614, 1511, 85, 261.47
2026/09/16 06:24:13.004, 22614, 1511, 85, 266.63
2026/09/16 06:24:13.255, 22614, 1511, 85, 266.63
2026/09/16 06:24:13.505, 22614, 1511, 99, 280.03
2026/09/16 06:24:13.756, 22614, 1511, 99, 280.03
2026/09/16 06:24:14.006, 22662, 1463, 99, 279.84
2026/09/16 06:24:14.256, 22662, 1463, 99, 279.84
2026/09/16 06:24:14.507, 22662, 1463, 99, 262.58
2026/09/16 06:24:14.757, 22662, 1463, 99, 262.58
2026/09/16 06:24:15.008, 22662, 1463, 99, 261.86
2026/09/16 06:24:15.258, 22662, 1463, 99, 261.86
2026/09/16 06:24:15.508, 22662, 1463, 99, 279.52
2026/09/16 06:24:15.759, 22662, 1463, 99, 279.52
2026/09/16 06:24:16.009, 22662, 1463, 99, 273.77
2026/09/16 06:24:16.259, 22662, 1463, 99, 273.77
2026/09/16 06:24:16.510, 22662, 1463, 99, 266.48
