2026/09/16 08:13:10.405, 22515, 1610
2026/09/16 08:13:10.905, 22515, 1610
2026/09/16 08:13:11.406, 22515, 1610
2026/09/16 08:13:11.906, 22515, 1610
2026/09/16 08:13:12.406, 22515, 1610
2026/09/16 08:13:12.907, 22563, 1562
2026/09/16 08:13:13.407, 22563, 1562
2026/09/16 08:13:13.907, 22563, 1562
2026/09/16 08:13:14.408, 22563, 1562
2026/09/16 08:13:14.908, 22563, 1562
2026/09/16 08:13:15.408, 22563, 1562
2026/09/16 08:13:15.909, 22249, 1876
2026/09/16 08:13:16.409, 22249, 1876
2026/09/16 08:13:16.909, 22519, 1606
2026/09/16 08:13:17.410, 22519, 1606
2026/09/16 08:13:17.910, 22519, 1606
2026/09/16 08:13:18.411, 22567, 1558
2026/09/16 08:13:18.911, 22567, 1558
2026/09/16 08:13:19.411, 22567, 1558
2026/09/16 08:13:19.912, 22567, 1558
2026/09/16 08:13:20.412, 22567, 1558
2026/09/16 08:13:20.912, 22567, 1558
2026/09/16 08:13:21.412, 22471, 1654
2026/09/16 08:13:21.913, 22471, 1654
2026/09/16 08:13:22.413, 22471, 1654
2026/09/16 08:13:22.913, 22471, 1654
2026/09/16 08:13:23.414, 22471, 1654
2026/09/16 08:13:23.914, 22471, 1654
2026/09/16 08:13:24.414, 22471, 1654
2026/09/16 08:13:24.915, 22471, 1654
2026/09/16 08:13:25.415, 22519, 1606
2026/09/16 08:13:25.916, 22519, 1606
2026/09/16 08:13:26.416, 22519, 1606
2026/09/16 08:13:26.916, 22519, 1606
2026/09/16 08:13:27.417, 22519, 1606
2026/09/16 08:13:27.917, 22519, 1606
2026/09/16 08:13:28.417, 22519, 1606
2026/09/16 08:13:28.918, 22567, 1558
2026/09/16 08:13:29.418, 22567, 1558
2026/09/16 08:13:29.918, 22567, 1558
2026/09/16 08:13:30.419, 22567, 1558
2026/09/16 08:13:30.919, 22567, 1558
2026/09/16 08:13:31.420, 22615, 1510
2026/09/16 08:13:31.920, 22615, 1510
2026/09/16 08:13:32.420, 22615, 1510
2026/09/16 08:13:32.921, 22615, 1510
2026/09/16 08:13:33.421, 22615, 1510
2026/09/16 08:13:33.921, 22615, 1510
2026/09/16 08:13:34.422, 22615, 1510
2026/09/16 08:13:34.922, 22615, 1510
2026/09/16 08:13:35.422, 22615, 1510
2026/09/16 08:13:35.923, 22615, 1510
2026/09/16 08:13:36.423, 22663, 1462
2026/09/16 08:13:36.923, 22663, 1462
2026/09/16 08:13:37.423, 22663, 1462
2026/09/16 08:13:37.924, 22663, 1462
2026/09/16 08:13:38.424, 22663, 1462
2026/09/16 08:13:38.925, 22663, 1462
2026/09/16 08:13:39.425, 22663, 1462
2026/09/16 08:13:39.925, 22663, 1462
2026/09/16 08:13:40.426, 22663, 1462
2026/09/16 08:13:40.926, 22663, 1462
2026/09/16 08:13:41.426, 22663, 1462
2026/09/16 08:13:41.927, 22663, 1462
2026/09/16 08:13:42.427, 22663, 1462
2026/09/16 08:13:42.927, 22471, 1654
2026/09/16 08:13:43.427, 22471, 1654
2026/09/16 08:13:43.928, 22471, 1654
2026/09/16 08:13:44.428, 22471, 1654
2026/09/16 08:13:44.928, 22471, 1654
2026/09/16 08:13:45.428, 22471, 1654
2026/09/16 08:13:45.928, 22471, 1654
2026/09/16 08:13:46.429, 22471, 1654
2026/09/16 08:13:46.929, 22471, 1654
2026/09/16 08:13:47.429, 22471, 1654
2026/09/16 08:13:47.929, 22471, 1654
2026/09/16 08:13:48.430, 22471, 1654
2026/09/16 08:13:48.930, 22471, 1654
2026/09/16 08:13:49.430, 22471, 1654
2026/09/16 08:13:49.930, 22471, 1654
2026/09/16 08:13:50.432, 22471, 1654
2026/09/16 08:13:50.932, 22471, 1654
2026/09/16 08:13:51.432, 22471, 1654
2026/09/16 08:13:51.932, 22471, 1654
2026/09/16 08:13:52.433, 22471, 1654
2026/09/16 08:13:52.933, 22471, 1654
2026/09/16 08:13:53.433, 22471, 1654
2026/09/16 08:13:53.933, 22471, 1654
2026/09/16 08:13:54.433, 22471, 1654
2026/09/16 08:13:54.934, 22471, 1654
2026/09/16 08:13:55.434, 22471, 1654
2026/09/16 08:13:55.934, 22471, 1654
2026/09/16 08:13:56.434, 22471, 1654
2026/09/16 08:13:56.935, 22471, 1654
2026/09/16 08:13:57.435, 22471, 1654
2026/09/16 08:13:57.935, 22471, 1654
2026/09/16 08:13:58.436, 22471, 1654
